Item		Average		CollabNum
169		4.75		16
408		4.7		10
483		4.64286		14
50		4.6		40
313		4.53333		15
205		4.5		10
357		4.5		18
12		4.5		22
178		4.5		10
89		4.48		25
318		4.47059		17
98		4.38462		26
172		4.375		32
174		4.36364		33
156		4.35714		14
64		4.35		20
135		4.35		20
199		4.33333		12
132		4.31579		19
8		4.3		10
523		4.3		10
333		4.27273		11
474		4.26316		19
168		4.25926		27
1		4.25926		27
100		4.25		36
194		4.23529		17
69		4.23529		17
173		4.21739		23
435		4.21429		14
302		4.21429		14
527		4.2		15
186		4.2		15
11		4.2		20
272		4.2		10
196		4.1875		16
127		4.18519		27
79		4.18182		22
498		4.18182		11
514		4.16667		12
603		4.15385		13
181		4.15		40
182		4.14286		14
209		4.13333		15
216		4.125		16
187		4.125		16
210		4.11538		26
176		4.11111		27
56		4.10714		28
144		4.10526		19
42		4.1		10
228		4.09091		22
223		4.09091		11
22		4.08333		24
195		4.08		25
480		4.07692		13
328		4.07692		13
651		4.07692		13
87		4.07692		13
197		4.07143		14
7		4.06897		29
511		4.0625		16
97		4.05882		17
9		4.05263		19
179		4		11
183		4		25
655		4		14
48		4		14
58		4		13
202		4		23
298		4		10
15		4		19
496		4		14
95		4		17
96		4		26
257		3.95652		23
28		3.95455		22
151		3.94118		17
238		3.94118		17
198		3.93333		15
427		3.92857		14
282		3.92857		14
588		3.92308		13
193		3.91667		12
137		3.91667		12
732		3.91667		12
471		3.90909		11
268		3.90909		11
191		3.9		20
23		3.9		10
234		3.88889		18
204		3.88462		26
185		3.86667		15
211		3.86667		15
203		3.86667		15
117		3.86364		22
55		3.85714		14
433		3.85		20
385		3.85		20
111		3.84615		13
180		3.84211		19
423		3.84211		19
177		3.83333		12
710		3.81818		11
742		3.8125		16
82		3.8125		16
124		3.8		10
482		3.8		10
71		3.78571		14
175		3.77778		18
568		3.77778		18
150		3.76923		13
380		3.75		12
188		3.73333		15
393		3.72727		11
125		3.7		10
248		3.7		10
24		3.69231		13
250		3.69231		13
258		3.68966		29
62		3.66667		12
276		3.66667		15
208		3.66667		15
265		3.66667		15
161		3.66667		15
31		3.66667		15
215		3.66667		12
550		3.66667		12
286		3.65		20
88		3.64286		14
25		3.64286		14
157		3.63636		11
300		3.625		24
654		3.61538		13
762		3.6		10
109		3.6		10
432		3.6		10
4		3.6		15
239		3.6		10
118		3.58824		17
237		3.58824		17
628		3.58333		12
255		3.58333		12
269		3.57143		14
692		3.57143		14
419		3.57143		14
226		3.5625		16
241		3.54545		11
154		3.54545		11
143		3.54545		11
72		3.54545		11
684		3.53846		13
751		3.53333		15
200		3.52941		17
367		3.5		12
70		3.5		18
660		3.5		10
91		3.5		12
508		3.5		10
475		3.46667		15
273		3.46667		15
470		3.45455		11
449		3.45455		11
879		3.45455		11
47		3.45455		11
214		3.45455		11
184		3.45455		11
227		3.45455		11
222		3.42308		26
68		3.41667		12
230		3.41176		17
591		3.4		10
472		3.4		10
229		3.4		15
66		3.4		10
129		3.4		10
218		3.4		10
566		3.4		15
259		3.4		10
153		3.38095		21
288		3.37037		27
455		3.36364		11
301		3.36364		11
431		3.35714		14
81		3.3		10
147		3.3		10
576		3.3		10
546		3.29412		17
326		3.25		12
121		3.24		25
403		3.21429		14
13		3.2		10
294		3.17857		28
271		3.16667		12
2		3.14286		14
597		3.125		16
451		3.08333		12
284		3.07692		13
748		3.0625		16
405		3.05		20
410		3		13
233		3		10
327		3		10
219		2.91667		12
501		2.9		10
38		2.7		10
231		2.7		10
678		2.58333		12
235		2.33333		15
Recommend 169 for user 926
Recommend 408 for user 926
Recommend 483 for user 926
Recommend 50 for user 926
Recommend 313 for user 926
Recommend 205 for user 926
Recommend 357 for user 926
Recommend 12 for user 926
Recommend 178 for user 926
Recommend 89 for user 926
