------------------rank by average------------------
Item		Average		CollabNum
1286		5		1
1098		5		1
1302		5		1
837		5		1
1126		5		2
494		5		1
1166		5		1
311		5		2
793		5		1
543		5		1
1269		5		1
297		5		1
818		5		1
114		5		4
1260		5		1
611		5		1
975		5		1
1443		5		1
1137		5		1
924		4.8		5
169		4.75		16
251		4.75		4
408		4.7		10
83		4.66667		6
902		4.66667		3
641		4.66667		3
1142		4.66667		3
483		4.64286		14
50		4.6		40
126		4.6		5
313		4.53333		15
366		4.5		2
613		4.5		2
357		4.5		18
141		4.5		4
736		4.5		2
1065		4.5		2
1019		4.5		4
531		4.5		6
959		4.5		4
205		4.5		10
966		4.5		2
12		4.5		22
774		4.5		2
887		4.5		2
646		4.5		4
645		4.5		2
178		4.5		10
561		4.5		2
89		4.48		25
318		4.47059		17
316		4.44444		9
521		4.42857		7
171		4.4		5
661		4.4		5
98		4.38462		26
172		4.375		32
735		4.375		8
174		4.36364		33
156		4.35714		14
135		4.35		20
64		4.35		20
616		4.33333		3
721		4.33333		3
101		4.33333		3
1134		4.33333		3
1039		4.33333		6
1220		4.33333		3
518		4.33333		6
488		4.33333		3
199		4.33333		12
492		4.33333		3
1012		4.33333		6
515		4.33333		9
152		4.33333		3
207		4.33333		3
502		4.33333		3
392		4.33333		3
166		4.33333		6
530		4.33333		6
51		4.33333		3
132		4.31579		19
8		4.3		10
523		4.3		10
165		4.28571		7
317		4.28571		7
315		4.28571		7
1101		4.28571		7
333		4.27273		11
474		4.26316		19
168		4.25926		27
1		4.25926		27
100		4.25		36
690		4.25		8
285		4.25		4
45		4.25		4
648		4.25		4
194		4.23529		17
69		4.23529		17
173		4.21739		23
302		4.21429		14
435		4.21429		14
963		4.2		5
136		4.2		5
186		4.2		15
382		4.2		5
864		4.2		5
527		4.2		15
61		4.2		5
272		4.2		10
11		4.2		20
430		4.2		5
116		4.2		5
196		4.1875		16
127		4.18519		27
79		4.18182		22
498		4.18182		11
514		4.16667		12
128		4.16667		6
399		4.16667		6
603		4.15385		13
181		4.15		40
182		4.14286		14
189		4.14286		7
705		4.14286		7
209		4.13333		15
216		4.125		16
187		4.125		16
657		4.125		8
210		4.11538		26
709		4.11111		9
176		4.11111		27
56		4.10714		28
144		4.10526		19
42		4.1		10
223		4.09091		11
