@relation 'user_training-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R1,4-weka.filters.unsupervised.attribute.NumericToNominal-R5,6,7'

@attribute age {'\'(-inf-13.6]\'','\'(13.6-20.2]\'','\'(20.2-26.8]\'','\'(26.8-33.4]\'','\'(33.4-40]\'','\'(40-46.6]\'','\'(46.6-53.2]\'','\'(53.2-59.8]\'','\'(59.8-66.4]\'','\'(66.4-inf)\''}
@attribute sex {M,F}
@attribute occupation {technician,other,writer,executive,administrator,student,lawyer,educator,scientist,entertainment,programmer,librarian,homemaker,artist,engineer,marketing,none,healthcare,retired,salesman,doctor}
@attribute zip {'\'(-inf-9970.9]\'','\'(9970.9-19941.8]\'','\'(19941.8-29912.7]\'','\'(29912.7-39883.6]\'','\'(39883.6-49854.5]\'','\'(49854.5-59825.4]\'','\'(59825.4-69796.3]\'','\'(69796.3-79767.2]\'','\'(79767.2-89738.1]\'','\'(89738.1-inf)\''}
@attribute genre1 {1,5,8,14,16}
@attribute genre2 {1,2,4,5,6,8,14,16,17}
@attribute genre3 {1,2,4,5,6,8,12,13,14,15,16}

@data
'\'(20.2-26.8]\'',M,technician,'\'(79767.2-89738.1]\'',8,5,1
'\'(46.6-53.2]\'',F,other,'\'(89738.1-inf)\'',8,5,14
'\'(20.2-26.8]\'',M,writer,'\'(29912.7-39883.6]\'',8,5,1
'\'(20.2-26.8]\'',M,technician,'\'(39883.6-49854.5]\'',16,6,8
'\'(26.8-33.4]\'',F,other,'\'(9970.9-19941.8]\'',5,1,8
'\'(40-46.6]\'',M,executive,'\'(89738.1-inf)\'',8,5,14
'\'(53.2-59.8]\'',M,administrator,'\'(89738.1-inf)\'',8,1,5
'\'(33.4-40]\'',M,administrator,'\'(-inf-9970.9]\'',1,8,16
'\'(26.8-33.4]\'',M,student,'\'(-inf-9970.9]\'',5,8,1
'\'(46.6-53.2]\'',M,lawyer,'\'(89738.1-inf)\'',8,5,14
'\'(33.4-40]\'',F,other,'\'(29912.7-39883.6]\'',8,5,1
'\'(26.8-33.4]\'',F,other,'\'(-inf-9970.9]\'',5,8,15
'\'(46.6-53.2]\'',M,educator,'\'(19941.8-29912.7]\'',8,5,1
'\'(40-46.6]\'',M,scientist,'\'(49854.5-59825.4]\'',8,1,5
'\'(46.6-53.2]\'',F,educator,'\'(89738.1-inf)\'',8,5,14
'\'(20.2-26.8]\'',M,entertainment,'\'(9970.9-19941.8]\'',5,8,1
'\'(26.8-33.4]\'',M,programmer,'\'(-inf-9970.9]\'',8,1,2
'\'(33.4-40]\'',F,other,'\'(29912.7-39883.6]\'',8,5,1
'\'(33.4-40]\'',M,librarian,'\'(-inf-9970.9]\'',8,1,5
'\'(40-46.6]\'',F,homemaker,'\'(89738.1-inf)\'',8,5,14
'\'(20.2-26.8]\'',M,writer,'\'(29912.7-39883.6]\'',16,5,8
'\'(20.2-26.8]\'',M,writer,'\'(39883.6-49854.5]\'',5,1,8
'\'(26.8-33.4]\'',F,artist,'\'(39883.6-49854.5]\'',8,5,1
'\'(20.2-26.8]\'',F,artist,'\'(89738.1-inf)\'',5,8,1
'\'(33.4-40]\'',M,engineer,'\'(49854.5-59825.4]\'',8,1,2
'\'(46.6-53.2]\'',M,engineer,'\'(19941.8-29912.7]\'',8,5,1
'\'(33.4-40]\'',F,librarian,'\'(29912.7-39883.6]\'',8,17,16
'\'(26.8-33.4]\'',M,writer,'\'(49854.5-59825.4]\'',1,2,16
'\'(40-46.6]\'',M,programmer,'\'(89738.1-inf)\'',8,1,5
'\'(-inf-13.6]\'',M,student,'\'(49854.5-59825.4]\'',8,5,1
'\'(20.2-26.8]\'',M,artist,'\'(9970.9-19941.8]\'',1,8,16
'\'(26.8-33.4]\'',F,student,'\'(69796.3-79767.2]\'',8,5,1
